               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.081328,            0.029435,             0.01417,          0.00073099,               0.125,          0.00084229,          0.00016846,            0.075691,            0.046934,            0.022552,           0.0084952,           0.0084952,           0.0084952
                  78,             0.10736,            0.051388,            0.018851,          0.00069735,               0.125,          0.00071536,          0.00021461,            0.075758,            0.045561,            0.023798,           0.0084754,           0.0084754,           0.0084754
                  79,            0.090015,            0.034147,            0.017862,          0.00069735,               0.125,          0.00071536,          0.00021461,            0.075758,            0.045561,            0.023798,           0.0084556,           0.0084556,           0.0084556
                  80,              0.1002,            0.043222,            0.019384,          0.00066489,               0.125,          0.00047378,          4.7378e-05,            0.075566,            0.045148,            0.024243,           0.0084358,           0.0084358,           0.0084358
                  81,            0.080004,            0.029705,            0.014991,          0.00066489,               0.125,          0.00047378,          4.7378e-05,            0.075566,            0.045148,            0.024243,            0.008416,            0.008416,            0.008416
                  82,            0.085934,            0.051899,             0.01838,          0.00064767,               0.125,          0.00086169,          8.6169e-05,            0.074318,            0.045033,            0.024628,           0.0083962,           0.0083962,           0.0083962
                  83,             0.08651,            0.034526,            0.017606,          0.00064767,               0.125,          0.00086169,          8.6169e-05,            0.074318,            0.045033,            0.024628,           0.0083764,           0.0083764,           0.0083764
                  84,            0.087488,            0.036501,            0.018317,           0.0012048,                0.25,           0.0013283,          0.00013283,            0.075869,            0.043397,             0.02428,           0.0083566,           0.0083566,           0.0083566
                  85,            0.069609,            0.025628,            0.011322,           0.0012048,                0.25,           0.0013283,          0.00013283,            0.075869,            0.043397,             0.02428,           0.0083368,           0.0083368,           0.0083368
                  86,            0.079594,            0.026495,            0.013483,          0.00057471,               0.125,           0.0063434,          0.00063434,            0.076573,            0.041602,            0.025391,            0.008317,            0.008317,            0.008317
                  87,            0.097665,            0.030437,            0.019388,          0.00057471,               0.125,           0.0063434,          0.00063434,            0.076573,            0.041602,            0.025391,           0.0082972,           0.0082972,           0.0082972
                  88,            0.097419,            0.040575,             0.01939,           0.0011261,                0.25,           0.0011177,          0.00026549,            0.076691,            0.041742,            0.025647,           0.0082774,           0.0082774,           0.0082774
                  89,               0.118,            0.050271,             0.01918,           0.0011261,                0.25,           0.0011177,          0.00026549,            0.076691,            0.041742,            0.025647,           0.0082576,           0.0082576,           0.0082576
                  90,            0.081736,            0.030374,            0.017647,           0.0022422,                 0.5,           0.0062985,           0.0011838,            0.076218,            0.042226,            0.025415,           0.0082378,           0.0082378,           0.0082378
                  91,            0.094182,            0.033952,            0.019405,           0.0022422,                 0.5,           0.0062985,           0.0011838,            0.076218,            0.042226,            0.025415,            0.008218,            0.008218,            0.008218
                  92,             0.07652,              0.0273,            0.014545,           0.0022222,                 0.5,           0.0080564,           0.0018702,            0.074032,            0.044479,            0.023218,           0.0081982,           0.0081982,           0.0081982
                  93,              0.1065,            0.042311,            0.019529,           0.0022222,                 0.5,           0.0080564,           0.0018702,            0.074032,            0.044479,            0.023218,           0.0081784,           0.0081784,           0.0081784
                  94,            0.079147,            0.028442,            0.014684,           0.0022272,                 0.5,            0.005739,           0.0017397,            0.074693,             0.04449,            0.021057,           0.0081586,           0.0081586,           0.0081586
                  95,            0.076845,            0.026977,            0.016428,           0.0022272,                 0.5,            0.005739,           0.0017397,            0.074693,             0.04449,            0.021057,           0.0081388,           0.0081388,           0.0081388
                  96,            0.095724,            0.047872,            0.017595,           0.0022247,                 0.5,           0.0062785,           0.0016336,            0.073578,            0.045644,            0.019073,            0.008119,            0.008119,            0.008119
                  97,            0.093652,            0.034096,            0.018262,           0.0022247,                 0.5,           0.0062785,           0.0016336,            0.073578,            0.045644,            0.019073,           0.0080992,           0.0080992,           0.0080992
                  98,            0.064778,            0.022203,            0.012424,           0.0022247,                 0.5,            0.011335,           0.0024222,            0.073676,            0.045882,            0.020135,           0.0080794,           0.0080794,           0.0080794
                  99,            0.054753,            0.024128,            0.010168,           0.0022247,                 0.5,            0.011335,           0.0024222,            0.073676,            0.045882,            0.020135,           0.0080596,           0.0080596,           0.0080596
